ISOCode,Year,Population
AFG,1900,4707744
AFG,1901,4751177
AFG,1902,4802500
AFG,1903,4861833
AFG,1904,4921891
AFG,1905,4982681
AFG,1906,5044212
AFG,1907,5106495
AFG,1908,5169536
AFG,1909,5300178
AFG,1910,5504191
AFG,1911,5787792
AFG,1912,6157669
AFG,1913,6621025
AFG,1914,7119235
AFG,1915,7654918
AFG,1916,8230894
AFG,1917,8850190
AFG,1918,9529174
AFG,1919,9976355
AFG,1920,10188845
AFG,1921,10162753
AFG,1922,9893152
AFG,1923,9374030
AFG,1924,8882148
AFG,1925,8416077
AFG,1926,7974462
AFG,1927,7556019
AFG,1928,7159534
AFG,1929,6851115
AFG,1930,6626142
AFG,1931,6480237
AFG,1932,6409250
AFG,1933,6409250
AFG,1934,6409250
AFG,1935,6409250
AFG,1936,6409250
AFG,1937,6409250
AFG,1938,6409250
AFG,1939,6428903
AFG,1940,6468510
AFG,1941,6528377
AFG,1942,6608815
AFG,1943,6710138
AFG,1944,6813016
AFG,1945,6917471
AFG,1946,7023527
AFG,1947,7131209
AFG,1948,7240542
AFG,1949,7356890
AFG,1950,7480464
AFG,1951,7571542
AFG,1952,7667534
AFG,1953,7764549
AFG,1954,7864289
AFG,1955,7971933
AFG,1956,8087730
AFG,1957,8210207
AFG,1958,8333827
AFG,1959,8468220
AFG,1960,8622473
AFG,1961,8790140
AFG,1962,8969055
AFG,1963,9157463
AFG,1964,9355510
AFG,1965,9565154
AFG,1966,9783153
AFG,1967,10010037
AFG,1968,10247782
AFG,1969,10494491
AFG,1970,10752973
AFG,1971,11015853
AFG,1972,11286753
AFG,1973,11575308
AFG,1974,11869881
AFG,1975,12157390
AFG,1976,12425276
AFG,1977,12687308
AFG,1978,12938864
AFG,1979,12986378
AFG,1980,12486640
AFG,1981,11155196
AFG,1982,10088290
AFG,1983,9951447
AFG,1984,10243689
AFG,1985,10512220
AFG,1986,10448447
AFG,1987,10322767
AFG,1988,10383459
AFG,1989,10673172
AFG,1990,10694804
AFG,1991,10745168
AFG,1992,12057436
AFG,1993,14003764
AFG,1994,15455560
AFG,1995,16418911
AFG,1996,17106600
AFG,1997,17788818
AFG,1998,18493134
AFG,1999,19262854
AFG,2000,19542986
AFG,2001,19688634
AFG,2002,21000258
AFG,2003,22645136
AFG,2004,23553554
AFG,2005,24411196
AFG,2006,25442946
AFG,2007,25903306
AFG,2008,26427204
AFG,2009,27385310
AFG,2010,28189672
AFG,2011,29249156
AFG,2012,30466484
AFG,2013,31541216
AFG,2014,32716214
AFG,2015,33753500
AFG,2016,34636212
AFG,2017,35643420
AFG,2018,36686788
AFG,2019,37769496
AFG,2020,38972236
AFG,2021,40099460
ALB,1900,805974
ALB,1901,813539
ALB,1902,821036
ALB,1903,828461
ALB,1904,835954
ALB,1905,843514
ALB,1906,851143
ALB,1907,858841
ALB,1908,866609
ALB,1909,874016
ALB,1910,881057
ALB,1911,887724
ALB,1912,894013
ALB,1913,899917
ALB,1914,905859
ALB,1915,911841
ALB,1916,917862
ALB,1917,923923
ALB,1918,929879
ALB,1919,935646
ALB,1920,941221
ALB,1921,946603
ALB,1922,951788
ALB,1923,956775
ALB,1924,961788
ALB,1925,966828
ALB,1926,971893
ALB,1927,976986
ALB,1928,982104
ALB,1929,988255
ALB,1930,995454
ALB,1931,1003716
ALB,1932,1013057
ALB,1933,1023495
ALB,1934,1034040
ALB,1935,1044694
ALB,1936,1055458
ALB,1937,1066333
ALB,1938,1077319
ALB,1939,1088816
ALB,1940,1100833
ALB,1941,1113381
ALB,1942,1126469
ALB,1943,1140109
ALB,1944,1153914
ALB,1945,1167887
ALB,1946,1182028
ALB,1947,1196341
ALB,1948,1210827
ALB,1949,1229519
ALB,1950,1252587
ALB,1951,1289175
ALB,1952,1326957
ALB,1953,1366747
ALB,1954,1409011
ALB,1955,1453732
ALB,1956,1500625
ALB,1957,1549575
ALB,1958,1600986
ALB,1959,1655022
ALB,1960,1711189
ALB,1961,1769076
ALB,1962,1828234
ALB,1963,1888302
ALB,1964,1949020
ALB,1965,2009793
ALB,1966,2070694
ALB,1967,2132447
ALB,1968,2195474
ALB,1969,2259797
ALB,1970,2324733
ALB,1971,2389820
ALB,1972,2455181
ALB,1973,2520442
ALB,1974,2585457
ALB,1975,2650128
ALB,1976,2713564
ALB,1977,2774798
ALB,1978,2833317
ALB,1979,2888764
ALB,1980,2941650
ALB,1981,2992391
ALB,1982,3041188
ALB,1983,3087904
ALB,1984,3131731
ALB,1985,3171727
ALB,1986,3207129
ALB,1987,3237677
ALB,1988,3263019
ALB,1989,3282187
ALB,1990,3295073
ALB,1991,3302087
ALB,1992,3303738
ALB,1993,3300715
ALB,1994,3294001
ALB,1995,3284370
ALB,1996,3271336
ALB,1997,3253721
ALB,1998,3232185
ALB,1999,3208265
ALB,2000,3182027
ALB,2001,3153615
ALB,2002,3123554
ALB,2003,3092993
ALB,2004,3062629
ALB,2005,3032636
ALB,2006,3003391
ALB,2007,2976089
ALB,2008,2951690
ALB,2009,2930553
ALB,2010,2913402
ALB,2011,2900660
ALB,2012,2892191
ALB,2013,2887019
ALB,2014,2884100
ALB,2015,2882482
ALB,2016,2881064
ALB,2017,2879361
ALB,2018,2877019
ALB,2019,2873883
ALB,2020,2866850
ALB,2021,2854710
DZA,1900,4721802
DZA,1901,4787149
DZA,1902,4859600
DZA,1903,4939332
DZA,1904,5020372
DZA,1905,5102742
DZA,1906,5186463
